question,gold_sql,initial_predicted_sql,initial_exact_match,initial_execution_match,final_predicted_sql,final_exact_match,final_execution_match
"Show me object id, right ascensions and declinations of photometrically observed star in a certain area, of which the right ascension is between 185 and 186, declination is bertween 15 and 16.","select p.objid, p.ra, p.dec from photoobj as p JOIN photo_type as pt on p.type = pt.value where p.ra > 185 and p.ra < 186 and p.dec > 15 and p.dec < 16 and pt.name = 'STAR'","select p.objid, p.ra, p.dec from photoobj as p JOIN photo_type as pt on p.type = pt.value where p.ra > 185 and p.ra < 186 and p.dec > 15 and p.dec < 16 and pt.name = 'STAR'",True,True,"select p.objid, p.ra, p.dec from photoobj as p JOIN photo_type as pt on p.type = pt.value where p.ra > 185 and p.ra < 186 and p.dec > 15 and p.dec < 16 and pt.name = 'STAR'",True,True
"Find the object ids, right ascensions, declinations and observed types of photometrically observed Star.","select p.objid, p.ra, p.dec, pt.name from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR'","SELECT p.objid, p.ra, p.dec, pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR'",True,True,"SELECT p.objid, p.ra, p.dec, pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR'",True,True
"Find all spectroscopic observed star,  whose right ascension is greater than 185 and less than 186, declination is greater than 15 and less than 16. Retrieve their object id, right ascension, declination, and photometric object type","select p.objid, p.ra, p.dec, s.z from Photoobj as p join specobj as s on s.bestobjid = p.objid where s.ra > 185 and s.ra < 186 AND s.dec > 15 and s.dec < 16 and s.class = 'STAR'","SELECT p.objid, p.ra, p.dec, pt.name FROM photoobj AS p JOIN specobj AS s ON s.bestobjid = p.objid JOIN photo_type AS pt ON p.type = pt.value WHERE s.ra > 185 AND s.ra < 186 AND s.dec > 15 AND s.dec < 16 AND s.class = 'STAR'",False,False,"SELECT p.objid, p.ra, p.dec, pt.name FROM photoobj AS p JOIN specobj AS s ON s.bestobjid = p.objid JOIN photo_type AS pt ON p.type = pt.value WHERE s.ra > 185 AND s.ra < 186 AND s.dec > 15 AND s.dec < 16 AND s.class = 'STAR'",False,False
Show me the all different photometrical observation types among all photometric objects.,select distinct pt.name from photo_type as pt join photoobj as p on p.type = pt.value,SELECT DISTINCT pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value,False,True,SELECT DISTINCT pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value,False,True
Find all photometrically observed object types. Return only unique records.,select distinct pt.name from photo_type as pt join photoobj as p on p.type = pt.value,SELECT DISTINCT pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value,False,True,SELECT DISTINCT pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value,False,True
Show me the galactic coordinates of the center object with the least distance to the nearest neighbors. Return the distance as well.,"SELECT p.b, p.l, n.distance from photoobj as p join neighbors as n on p.objid = n.objid order by n.distance asc limit 1","SELECT p.b, p.l, n.distance from photoobj as p join neighbors as n on p.objid = n.objid order by n.distance asc limit 1",True,False,"SELECT p.b, p.l, n.distance from photoobj as p join neighbors as n on p.objid = n.objid order by n.distance asc limit 1",True,False
"Fetch all color bands (magnitude u, g, r, i, z) of photometrically observable Star where color band u - g < 0.5","select p.u, p.g, p.r, p.i, p.z from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR' and  p.u - p.g < 0.5","SELECT p.u, p.g, p.r, p.i, p.z FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR' AND p.u - p.g < 0.5",True,True,"SELECT p.u, p.g, p.r, p.i, p.z FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR' AND p.u - p.g < 0.5",True,True
Find Galaxy that are photometrically observable,select p.objid from photoobj as p JOIN photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',select p.objid from photoobj as p JOIN photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',True,True,select p.objid from photoobj as p JOIN photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',True,True
What are the galactic coordinates of all Quasi stellar object (QSO),"SELECT T1.b, T1.l FROM photoobj AS T1 JOIN specobj AS T2 ON T1.objid = T2.bestobjid where T2.class = 'QSO'","SELECT p.b, p.l FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'QSO'",False,False,"SELECT p.b, p.l FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'QSO'",False,False
"Find the object ids, classes and subclasses of spectroscopically and photometrically observable Galaxy with AGN.","select s.specobjid, s.class, s.subclass from specobj as s join photoobj as p on s.bestobjid = p.objid join photo_type as pt on p.type = pt.value where s.subclass like '%AGN%' and s.class = 'GALAXY' and pt.name = 'GALAXY'","SELECT s.specobjid, s.class, s.subclass FROM specobj AS s JOIN photoobj AS p ON s.bestobjid = p.objid JOIN photo_type AS pt ON p.type = pt.value WHERE s.class = 'GALAXY' AND s.subclass LIKE '%AGN%' AND pt.name = 'GALAXY'",False,True,"SELECT s.specobjid, s.class, s.subclass FROM specobj AS s JOIN photoobj AS p ON s.bestobjid = p.objid JOIN photo_type AS pt ON p.type = pt.value WHERE s.class = 'GALAXY' AND s.subclass LIKE '%AGN%' AND pt.name = 'GALAXY'",False,True
"Show me the object id, right ascension, declination, and redshift of spectroscopic observed galaxy in a certain area, of which the right ascension is in an unbouded interval of 185 and 186, declination is in an unbouded interval of 15 and 16.","select p.objID, p.ra, p.dec, s.z from Photoobj as p join specobj as s on s.bestobjid = p.objid where s.ra > 185 and s.ra < 186 AND s.dec > 15 and s.dec < 16 and s.class = 'GALAXY'","SELECT p.objid, p.ra, p.dec, s.z FROM photoobj AS p JOIN specobj AS s ON s.bestobjid = p.objid WHERE s.ra > 185 AND s.ra < 186 AND s.dec > 15 AND s.dec < 16 AND s.class = 'GALAXY'",True,True,"SELECT p.objid, p.ra, p.dec, s.z FROM photoobj AS p JOIN specobj AS s ON s.bestobjid = p.objid WHERE s.ra > 185 AND s.ra < 186 AND s.dec > 15 AND s.dec < 16 AND s.class = 'GALAXY'",True,True
"Find right ascension, declination and photometric type class of equivalent width estimates of galactic-stars from these spectroscopic objects.","select p.ra, p.dec, p.type from spplines as sp join specobj as s on sp.specobjid = s.specobjid join photoobj as p on p.objid = s.bestobjid","select p.ra, p.dec, p.type from spplines as sp join specobj as s on sp.specobjid = s.specobjid join photoobj as p on p.objid = s.bestobjid",True,False,"SELECT p.ra, p.dec, p.type FROM spplines AS sp JOIN specobj AS s ON sp.specobjid = s.specobjid JOIN photoobj AS p ON p.objid = s.bestobjid",True,False
"Find the object ids, right ascensions and declinations of photometrically observable star whose right ascension is greater than 185, right ascension is less than 186, declination is greater than 15, declination is less than 16.","select p.objid, p.ra, p.dec from photoobj as p JOIN photo_type as pt on p.type = pt.value where p.ra > 185 and p.ra < 186 and p.dec > 15 and p.dec < 16 and pt.name = 'STAR'","SELECT p.objid, p.ra, p.dec FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR' AND p.ra > 185 AND p.ra < 186 AND p.dec > 15 AND p.dec < 16",False,True,"SELECT p.objid, p.ra, p.dec FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR' AND p.ra > 185 AND p.ra < 186 AND p.dec > 15 AND p.dec < 16",False,True
Show me the least distance of the nearst photometrically observable Star,SELECT min(n.distance) FROM neighbors AS n JOIN photo_type AS pt ON n.neighbortype = pt.value JOIN photoobj AS p ON p.objid = n.objid WHERE pt.name = 'STAR' and p.objid in (SELECT p.objid FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR'),SELECT min(n.distance) FROM neighbors AS n JOIN photo_type AS pt ON n.neighbortype = pt.value JOIN photoobj AS p ON p.objid = n.objid WHERE pt.name = 'STAR' and p.objid in (SELECT p.objid FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR'),True,False,SELECT min(n.distance) FROM neighbors AS n JOIN photo_type AS pt ON n.neighbortype = pt.value WHERE pt.name = 'STAR',False,False
"Fetch all color bands (magnitude u, g, r, i, z) of spectroscopically observable Galaxy with color band g fainter than 17 but brighter than 18 and redshift lower than 0.05","select p.u, p.g, p.r, p.i, p.z from photoobj as p join specobj as s on s.bestobjid = p.objid where s.class = 'GALAXY' and p.g between 17 and 18 and s.z < 0.05","SELECT p.u, p.g, p.r, p.i, p.z FROM photoobj AS p JOIN specobj AS s ON s.bestobjid = p.objid WHERE s.class = 'GALAXY' AND p.g BETWEEN 17 AND 18 AND s.z < 0.05",True,True,"SELECT p.u, p.g, p.r, p.i, p.z FROM photoobj AS p JOIN specobj AS s ON s.bestobjid = p.objid WHERE s.class = 'GALAXY' AND p.g BETWEEN 17 AND 18 AND s.z < 0.05",True,True
Find everything about photometrically observable Galaxy.,select * from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',SELECT p.* FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'GALAXY',False,False,SELECT p.* FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'GALAXY',False,False
What is the maximal distance between the nearest photometrically observed Star?,SELECT max(n.distance) FROM neighbors AS n JOIN photo_type AS pt ON n.neighbortype = pt.value JOIN photoobj AS p ON p.objid = n.objid WHERE pt.name = 'GALAXY' and p.objid in (SELECT p.objid FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'GALAXY'),SELECT max(n.distance) FROM neighbors AS n JOIN photo_type AS pt ON n.neighbortype = pt.value JOIN photoobj AS p ON p.objid = n.objid WHERE pt.name = 'STAR' and p.objid in (SELECT p.objid FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR'),False,False,SELECT max(n.distance) FROM neighbors AS n JOIN photo_type AS pt ON n.neighbortype = pt.value JOIN photoobj AS p ON p.objid = n.objid WHERE pt.name = 'STAR' and p.objid in (SELECT p.objid FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR'),False,False
"Find object id, right ascension, declination of photometrically observed star whose magnitude i is brighter than 19 and fainter than 0, the difference of magnitude g and magnitude r is higher than 2.26, the difference of magnitude i and magnitude z is lower than 0.25, and either the difference of magnitude u and magnitude g is greater than 2.0 or magnitude u is fainter than 22.3","SELECT p.objid, p.ra, p.dec from photoobj AS p JOIN photo_type AS pt ON p.type = pt.value where pt.name = 'STAR' and i < 19 and i > 0 and g - r > 2.26 and i - z < 0.25 and u - g > 2.0  or  u > 22.3","SELECT p.objid, p.ra, p.dec FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR' AND p.i < 19 AND p.i > 0 AND p.g - p.r > 2.26 AND p.i - p.z < 0.25 AND (p.u - p.g > 2.0 OR p.u > 22.3)",False,False,"SELECT p.objid, p.ra, p.dec FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'STAR' AND p.i < 19 AND p.i > 0 AND p.g - p.r > 2.26 AND p.i - p.z < 0.25 AND (p.u - p.g > 2.0 OR p.u > 22.3)",False,False
"Find the object ids, right ascensions and declinations of photometrically observable galaxy whose right ascension is greater than 185, right ascension is less than 186, declination is greater than 15, declination is less than 16.","select p.objid, p.ra, p.dec from photoobj as p JOIN photo_type as pt on p.type = pt.value where p.ra > 185 and p.ra < 186 and p.dec > 15 and p.dec < 16 and pt.name = 'GALAXY'","select p.objid, p.ra, p.dec from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.ra > 185 and p.ra < 186 and p.dec > 15 and p.dec < 16",False,True,"select p.objid, p.ra, p.dec from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.ra > 185 and p.ra < 186 and p.dec > 15 and p.dec < 16",False,True
List all unique run numbers,select distinct p.run from photoobj as p,SELECT DISTINCT p.run FROM photoobj AS p,True,True,SELECT DISTINCT p.run FROM photoobj AS p,True,True
"Fetch me the object id, right ascension and declination of spectroscopic Galaxy with the color band magnitude g brighter than 18.0 but fainter than 17 and redshift lower than 0.05","select p.objid, p.ra, p.dec from photoobj as p join specobj as s on s.bestobjid = p.objid where s.class = 'GALAXY' and p.g between 17 and 18 and s.z < 0.05","select p.objid, p.ra, p.dec from photoobj as p join specobj as s on s.bestobjid = p.objid where s.class = 'GALAXY' and p.g between 17 and 18 and s.z < 0.05",True,True,"select p.objid, p.ra, p.dec from photoobj as p join specobj as s on s.bestobjid = p.objid where s.class = 'GALAXY' and p.g between 17 and 18 and s.z < 0.05",True,True
"Fetch the least distance of the nearst neighbors. Retrieve the corresponding galactic latitude, galactic longitude as well.","SELECT p.b, p.l, n.distance from photoobj as p join neighbors n on p.objid = n.objid where n.distance = (select min(n.distance) from neighbors as n)","SELECT p.b, p.l, n.distance from photoobj as p join neighbors n on p.objid = n.objid where n.distance = (select min(n.distance) from neighbors as n)",True,True,"SELECT p.b, p.l, n.distance from photoobj as p join neighbors n on p.objid = n.objid where n.distance = (select min(n.distance) from neighbors as n)",True,True
How many different run number are there,select count(distinct p.run) from photoobj as p,select count(distinct p.run) from photoobj as p,True,True,select count(distinct p.run) from photoobj as p,True,True
"Fetch me the spectroscopic object id, the spectroscopic class and subclass of Galaxy with AGN observed both spectroscopically and photometrically.","select s.specobjid, s.class, s.subclass from specobj as s join photoobj as p on s.bestobjid = p.objid join photo_type as pt on p.type = pt.value where s.subclass like '%AGN%' and s.class = 'GALAXY' and pt.name = 'GALAXY'","select s.specobjid, s.class, s.subclass from specobj as s join photoobj as p on s.bestobjid = p.objid join photo_type as pt on p.type = pt.value where s.subclass like '%AGN%' and s.class = 'GALAXY' and pt.name = 'GALAXY'",True,True,"select s.specobjid, s.class, s.subclass from specobj as s join photoobj as p on s.bestobjid = p.objid join photo_type as pt on p.type = pt.value where s.subclass like '%AGN%' and s.class = 'GALAXY' and pt.name = 'GALAXY'",True,True
How many photometric objects for each photometrically observation type are there?,"select pt.name, count(*) from photoobj as p join photo_type as pt on pt.value = p.type group by pt.name","SELECT pt.name, count(*) FROM photoobj AS p JOIN photo_type AS pt ON pt.value = p.type GROUP BY pt.name",True,True,"SELECT pt.name, count(*) FROM photoobj AS p JOIN photo_type AS pt ON pt.value = p.type GROUP BY pt.name",True,True
Show me the redshift of the center object with the least distance to its nearest neighbor,SELECT s.z from specobj as s join photoobj as p on s.bestobjid = p.objid join neighbors as n on p.objid = n.objid where n.distance = (select min(n.distance) from neighbors as n),SELECT s.z from specobj as s join photoobj as p on s.bestobjid = p.objid join neighbors as n on p.objid = n.objid order by n.distance asc limit 1,False,False,SELECT s.z from specobj as s join photoobj as p on s.bestobjid = p.objid join neighbors as n on p.objid = n.objid order by n.distance asc limit 1,False,False
Find spectroscopic objects of equivalent width estimates of galactic-stars from these spectroscopic objects.,select sp.specobjid from spplines as sp join specobj as s on sp.specobjid = s.specobjid,select sp.specobjid from spplines as sp join specobj as s on sp.specobjid = s.specobjid,True,True,select sp.specobjid from spplines as sp join specobj as s on sp.specobjid = s.specobjid,True,True
Find the number of photometrically observed Galaxy,select COUNT(*) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',select count(p.objid) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',False,True,select count(p.objid) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',False,True
Find the different object type classifications of photometric objects whose right ascension is greater than 100 and declination is less than 100.,select distinct p.type from photoobj as p where p.ra > 100 and p.dec < 100,SELECT DISTINCT pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE p.ra > 100 AND p.dec < 100,False,False,SELECT DISTINCT pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE p.ra > 100 AND p.dec < 100,False,False
What is the photometric object id and modified julien date of spectroscopic Star with spectral type 'K',"SELECT T2.objid, T1.mjd FROM specobj AS T1 JOIN photoobj as T2 ON T1.bestobjid = T2.objid WHERE T1.class = 'STAR' and T1.subclass like '%K%'","SELECT T2.objid, T1.mjd FROM specobj AS T1 JOIN photoobj as T2 ON T1.bestobjid = T2.objid WHERE T1.class = 'STAR' and T1.subclass like '%K%'",True,True,"SELECT T2.objid, T1.mjd FROM specobj AS T1 JOIN photoobj as T2 ON T1.bestobjid = T2.objid WHERE T1.class = 'STAR' and T1.subclass like '%K%'",True,True
"Show me the photometric observed Galaxy of which the color band magnitude g is brighter than 22, and the other constraints as following, u - g >= -0.27 but < 0.71, g - r >= -0.24 but < 0.35, r - i >= -0.27 but < 0.57, and i - z >= -0.35 but < 0.7. Rerank the result with descent order by color band magnitude g ","select p.objid, p.g from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.g <= 22 and p.u - p.g >= -0.27 and p.u - p.g < 0.71 and p.g - p.r  >= -0.24 and p.g - p.r < 0.35 and p.r - p.i >= -0.27 and p.r - p.i < 0.57 and p.i - p.z  >= -0.35 and p.i - p.z < 0.7 order by p.g desc",SELECT p.objid from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.g < 22 and p.u - p.g >= -0.27 and p.u - p.g < 0.71 and p.g - p.r >= -0.24 and p.g - p.r < 0.35 and p.r - p.i >= -0.27 and p.r - p.i < 0.57 and p.i - p.z >= -0.35 and p.i - p.z < 0.7 order by p.g desc,False,False,SELECT p.objid from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.g < 22 and p.u - p.g >= -0.27 and p.u - p.g < 0.71 and p.g - p.r >= -0.24 and p.g - p.r < 0.35 and p.r - p.i >= -0.27 and p.r - p.i < 0.57 and p.i - p.z >= -0.35 and p.i - p.z < 0.7 order by p.g desc,False,False
Count the number of photometrically observable Galaxy,select COUNT(*) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',select count(p.objid) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',False,True,select count(p.objid) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY',False,True
Find me the galactic latitude and longitude of all Quasi stellar object (QSO),"SELECT T1.b, T1.l FROM photoobj AS T1 JOIN specobj AS T2 ON T1.objid = T2.bestobjid where T2.class = 'QSO'","SELECT p.b, p.l FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'QSO'",False,False,"SELECT p.b, p.l FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'QSO'",False,False
"Find all photometric observable GALAXY whose magnitude g is brighter than 22, the difference of magnitude u and magnitude g is between -0.27 and 0.71, the difference of magnitude g and magnitude r is between -0.24 and 0.35, the difference of magnitude r and magnitude i is between -0.27 and 0.57 and the difference of magnitude i and magnitude z is between -0.35 and 0.7. Retrieve the object id and magnitude g with descent order by magnitude g. ","select p.objid, p.g from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.g <= 22 and p.u - p.g >= -0.27 and p.u - p.g < 0.71 and p.g - p.r  >= -0.24 and p.g - p.r < 0.35 and p.r - p.i >= -0.27 and p.r - p.i < 0.57 and p.i - p.z  >= -0.35 and p.i - p.z < 0.7 order by p.g desc","SELECT p.objid, p.g FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'GALAXY' AND p.g < 22 AND p.u - p.g BETWEEN -0.27 AND 0.71 AND p.g - p.r BETWEEN -0.24 AND 0.35 AND p.r - p.i BETWEEN -0.27 AND 0.57 AND p.i - p.z BETWEEN -0.35 AND 0.7 ORDER BY p.g DESC",False,True,"SELECT p.objid, p.g FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'GALAXY' AND p.g < 22 AND p.u - p.g BETWEEN -0.27 AND 0.71 AND p.g - p.r BETWEEN -0.24 AND 0.35 AND p.r - p.i BETWEEN -0.27 AND 0.57 AND p.i - p.z BETWEEN -0.35 AND 0.7 ORDER BY p.g DESC",False,True
Find the object id and photometric observation type of photometric objects whose right ascension is greater than 100 and declination is less than 100.,"select p.objid, pt.name from photoobj as p join photo_type as pt on p.type = pt.value where p.ra > 100 and p.dec < 100","SELECT p.objid, pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE p.ra > 100 AND p.dec < 100",True,True,"SELECT p.objid, pt.name FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE p.ra > 100 AND p.dec < 100",True,True
Find the number of photometrically observed STAR,select count(*) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR',select count(p.objid) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR',False,True,select count(p.objid) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR',False,True
"Show me the photometrically observed star with the following constraints in its color bands, u - g < 0.4, g - r < 0.7, r - i > 0.4 and i - z > 0.4",select p.objid from photoobj as p JOIN photo_type as pt on p.type = pt.value where pt.name = 'STAR' and p.u - p.g < 0.4  and p.g - p.r < 0.7 and p.r - p.i > 0.4 and p.i - p.z > 0.4,select p.objid from photoobj as p JOIN photo_type as pt on p.type = pt.value where pt.name = 'STAR' and p.u - p.g < 0.4  and p.g - p.r < 0.7 and p.r - p.i > 0.4 and p.i - p.z > 0.4,True,True,select p.objid from photoobj as p JOIN photo_type as pt on p.type = pt.value where pt.name = 'STAR' and p.u - p.g < 0.4  and p.g - p.r < 0.7 and p.r - p.i > 0.4 and p.i - p.z > 0.4,True,True
